name,brewery,year,abv,style,size,stock,purchased,drunk,ibu,collaborators,barrel_aged,barrel_type,brewed_with
Pale Ale,12 Acres Brewing Company,2020,4.6,Pale Ale,500,0,1,true,34,,false,,
Winter Is Coming,12 Acres Brewing Company,2020,5.2,Oatmeal Porter,440,0,1,true,,,false,,
Union And Hyde,Alefarm Brewing,2020,6.2,American IPA,440,0,1,true,6,,false,,
Entomb II,Beavertown,2018,4.3,Gose,375,0,1,true,,,true,Terracota Amphorae,
Onna-Bugeisha,Beavertown,2019,7.1,Sake Inspired Dry Lager,375,0,1,true,,,true,,
I'm So Aware This Is Happening #262,Beerbliotek,2019,7.9,Imperial IPA,330,0,1,true,,,false,,
They're Playing Our Song #269,Beerbliotek,2019,7.5,New England IPA,330,0,1,true,,Finback,false,,
Fà Balà L'Oeucc,Birrificio Lambrate,2020,5.8,American IPA,330,0,1,true,80,,false,,
Jambe-de-Bois,Brasserie de la Senne,2019,8,Belgian Tripple,330,0,1,true,49,,false,,
Dead Pony Club,Brewdog,2020,3.8,Session Pale Ale,330,0,2,true,,,false,,
Zona Rossa,BrewFist,2020,5.5,American Pale Ale,330,0,1,true,,,false,,
Palinca (All Together),Brewtal Truth,2020,6.1,IPA,500,0,1,true,75,,false,,
The Devil In I,Brewtal Truth,2020,11,Imperial Stout,330,0,1,true,,,false,,
The Devil In I (Raspberry Small Batch),Brewtal Truth,2020,11,Imperial Stout,330,0,1,true,,,false,,Raspberry
Dethrone,Brewtal Truth,2020,7.6,American IPA,500,0,1,true,80,,false,,
3 Fonteinen Oude Geuze,Brouwerij 3 Fonteinen,2016,6,Gueuze Lambic,330,0,1,true,,,true,Oak,
Oude Geuze Boon,Brouwerij Boon,2016,7,Gueuze Lambic,375,0,1,true,22,,true,,
Pere Noel,Brouwerij De Ranke,2018,7,Christmas Ale,330,0,1,true,,,false,,
Lambic Infused With Olive Leaves,Brouwerij Oud Beersel,2020,6.8,Lambic,1000,0,1,true,,,true,,
Oude Geuze (Vieille),Brouwerij Oud Beersel,2019,6.5,Gueuze Lambic,330,0,1,true,16,,true,,
Delta IPA,Brussels Beer Project,2019,6.5,Saison IPA,330,0,1,true,45,,false,,
Classic Gueuze,Cantillon,2018,5,Gueuze Lambic,1500,0,1,true,,,false,,
Classic Gueuze,Cantillon,2019,5.5,Gueuze Lambic,375,0,1,true,,,false,,
Rose de Gambrinus,Cantillon,2018,5,Lambic - Framboise,750,1,1,true,,,false,,
A Fire by the Bines,Cloudwater Brew Co.,2019,8,Double IPA,440,0,1,true,,,false,,
An Ever Flowing Body Of Water,Cloudwater Brew Co.,2019,6.7,IPA,440,0,1,true,,,false,,
The Infinite Sides of the Globe,Cloudwater Brew Co.,2019,5.5,Double Dry Hopped Pale Ale,440,0,1,true,,,false,,
"What's Best For Us, Is Also What's Best For You",Cloudwater Brew Co.,2019,9,Double IPA,440,0,3,true,,,false,,
Pale Ale,Cloudwater Brew Co.,2020,3.7,American Pale Ale,440,0,1,true,,,false,,
Jam Up The Mash,Collective Arts Brewing,2020,5.2,Sour,440,0,1,true,,,false,,
L'Brett d'Apricot,Crooked Stave Artisan Beer Project,2017,5.7,Lambic,750,0,1,true,,,true,Oak,Apricots
L'Brett D'Or,Crooked Stave Artisan Beer Project,2019,5,American Wild Ale,750,0,1,true,,,true,oak,
Teeny Tiny,Dead Center,2020,3.3,New England IPA,440,0,1,true,,,false,,
Commander Reserve,Dead Frog,2015,10.5,Imperial Stout,650,0,1,false,,,true,,
Argentum,Delirium,2018,7,Hopped Amber Ale,330,0,1,true,,,false,,
The Dissident,Deschutes,2017,10.5,Ale,650,1,1,false,,,true,Oak,cherries
Session IPA,Dick Macks,2020,4.6,Session IPA,1000,0,1,true,35,,false,,
Contains Nuts,Dot Brew,2019,10.9,Imperial Milk Stout/Barrel Aged Porter,330,0,1,true,,,true,,
DOT 12,Dot Brew,2019,9,Imperial Rye,330,0,1,true,,12 acres,true,,
Just A Minute,Dot Brew,2020,8.6,Imperial Pale Ale,330,0,1,true,,,true,"White Rum, Bourbon and Whiskey",
Hill Of The Serpent,Eight Degrees,2020,6.66,Cascadian Dark Ale,440,0,1,true,,,false,,
Maroon Ball 7,Eight Degrees,2019,8.3,kviek Double IPA,440,0,1,true,,,false,,
Easy Jack,Firestone Walker,2020,4.5,IPA,355,0,1,true,,,false,,
Firestone Walker - Luponic Distortion No. 13 ,Firestone Walker,2020,5.9,IPA,355,0,1,true,,,false,,
Helldorado,Firestone Walker,2016,11.8,Blonde Barley Wine Ale,650,1,1,false,,,false,,
Stickee Monkee,Firestone Walker,2016,11.6,Central Coast Quad,650,1,1,false,,,true,,
XXII Anniversary Ale,Firestone Walker,2018,12.7,Ale,355,1,1,false,,,true,oak,
CBS,Founders,2018,11.6,Imperial Stout,355,1,1,true,,,true,,
KBS,Founders,2019,12.2,Imperial Stout,355,1,1,true,,,true,,
Jarl,Fyne Ales,2020,3.8,Blonde Ale,440,0,1,true,40,,false,,
Diving Bell,Galway Bay,2018,9.5,Wee heavy,500,2,2,true,,,true,,
Harmonic Convergence,Galway Bay,2018,12,Barley Wine,500,1,2,false,0,Boundary,true,,
Harmonic Convergence,Galway Bay,2019,10.5,Barley Wine,500,2,3,true,0,Boundary,true,Sherry/Vermouth,
Two Hundred Fathoms,Galway Bay,2017,10,Imperial Stout,500,1,1,true,,,true,Whiskey,
Two Hundred Fathoms,Galway Bay,2018,10,Imperial Stout,500,3,3,true,,,true,Whiskey,
All Together,Garage Beer co.,2020,6.5,New England IPA,440,0,1,true,,,false,,
Cotorres,Garage Beer co.,2019,5.5,Berliner Weisse,440,0,1,true,,Alvarado Street,false,,
False Coloured Eyes,Garage Beer co.,2019,6,New England IPA,440,0,1,true,,Deya,false,,
No Dice,Garage Beer co.,2020,8.5,Double New England IPA,440,0,1,true,,,false,,
Ocata,Garage Beer co.,2019,5.4,IPA,440,0,1,true,,,false,,
Supercombi,Garage Beer co.,2019,8.6,Double IPA,440,0,1,true,,Other Half,false,,
Member IPA?,Green Cheek Beer Company,2020,7,American IPA,440,0,1,true,,,false,,
Digital Leash,Heaney Farmhouse,2020,6,IPA,440,0,1,true,,,false,,
I Can See the Stars,Heaney Farmhouse,2020,11,Russian Imperial Stout,440,0,1,true,,Boundary,false,,
Winter Season,Hope,2019,4.9,Black IPA,440,0,1,true,30,,false,,
Great news,Hopewell,2019,5.6,Saison,475,0,1,true,,,false,,
Sour Series - Berliner Weisse With Guava And Passionfruit,HORIZONT Brewing,2020,3.5,Fruited Berliner Weisse,440,0,1,true,15,,false,,
Soldier's Island,Kildare Brewing Co.,2020,4.5,Pale Ale,440,0,1,true,,,false,,
Brewers At Play | No. 7 Hazy Session IPA,Kinnegar Brewing,2020,4.2,Hazy Session IPA,440,0,1,true,,,false,,
Noire du Midi,L'Ermitage,2019,6.9,Hoppy Porter,330,0,1,true,,,false,,
Elements,Larkin's,2020,7.5,Double IPA,440,0,2,true,,,false,,
Bad Haircut,Lervig,2020,7.5,Double IPA,330,0,1,true,31,,false,,
Coconuts,Lervig,2020,12.5,Imperial Stout,500,0,1,true,,,true,,"Coconut, maple and vanilla"
Dark Orbit,Lervig,2020,7,Porter,500,0,1,true,,,false,,
Supersonic,Lervig,2020,8.5,DDH IPA,500,0,1,true,,,false,,
Zephyr,Lineman,2020,6,West Coast IPA,440,0,1,true,,,false,,
Tongerlo,Lux,2018,6,Belgian Blond,750,1,1,false,,,false,,
Szilvás Gombóc,Mad Scientist,2020,10,Fruited Gose,330,0,1,true,,,false,,
Cryoflayer 8.88,Marz community Brewing Co.,2019,8.88,Triple dry hopped hazy double IPA,330,0,4,true,,,false,,
Dans’s Double IPA,McGargles,2019,8,Double IPA,500,0,1,true,80,,false,,
Daragh's Session IPA,McGargles,2019,3.8,Session IPA,500,0,1,true,38,,false,,
Francis’ Big Bangin’ IPA,McGargles,2019,7.1,IPA,500,0,1,true,70,,false,,
Rosie's Pale Ale,McGargles,2019,4.5,Pale Ale,500,0,1,true,35,,false,,
Thomas Hardy's Ale,Meantime Brewing Company,2014,11.7,Barley Wine,330,1,1,false,,,false,,
Monster Park (Mexican Hot Choclate Edition),Modern Times,2019,14.2,Imperial Stout,350,0,1,true,,,true,Bourbon,
Mythic Worlds,Modern Times,2019,7.6,New England IPA,440,0,1,true,,,false,,
Bête-Raves Sauvages,Mont Hardi,2020,5.9,Farmhouse Saison Ale,330,0,1,true,,,false,,
Star City,Mothership,2019,7.4,Double IPA,440,0,1,true,65,Fourpure Brewing co,false,,
Alternative Facts,O'Brother,2020,4,Dry Hopped Sour,440,0,1,true,,,false,,
Leann Follain,O'hara's,2018,8.1,Stout,750,1,1,false,,,true,Bourbon,
Aon Pecan Mud Cake,Omnipollo,2019,11,Imperial Stout,330,0,1,true,,,false,,
Lorelei,Omnipollo,2020,10.5,Imperial Porter,330,1,1,false,,,false,,Coconut & Maple Syrup
Moebius,Omnipollo,2020,8.5,Imperial IPA,440,0,4,true,,,false,,
Original Chocolate Ice Cream,Omnipollo,2019,6.2,Brown Ale,440,0,1,false,,Buxton,false,,
Lime And Pepper Gose,Pilot,2020,5.1,Fruited Gose,330,0,1,true,,,false,,
Hopping Spree,Round Corner Brewing,2020,6.6,American IPA,330,0,1,true,60,,false,,
Garnet,Rye River,2019,9.5,Imperial Brown,750,1,1,false,,,true,Cognac,
The Helm of Awe,Sahtipaja,2018,12.2,Imperial Stout,330,0,1,true,,,true,Red Wine,honey
Sabro Vermont Session IPA,SALT,2020,4.2,New England IPA,440,0,1,true,,,false,,
310 California Blonde Ale,Santa Monica Brew Works,2020,4.8,Blonde Ale,330,0,1,true,12,,false,,
40th Hoppy Anniversary Ale,Sierra Nevada Brewing Co.,2020,6,Hoppy Ale,355,0,2,true,,,false,,
Big Foot,Sierra Nevada Brewing Co.,2011,9.6,Barley Wine,355,1,1,false,,,false,,
Big Foot,Sierra Nevada Brewing Co.,2012,9.6,Barley Wine,355,1,1,true,,,false,,
Big Foot,Sierra Nevada Brewing Co.,2013,9.6,Barley Wine,355,1,1,true,,,false,,
Big Foot,Sierra Nevada Brewing Co.,2014,9.6,Barley Wine,355,1,1,true,,,false,,
Big Foot,Sierra Nevada Brewing Co.,2015,9.6,Barley Wine,355,1,1,true,,,false,,
Big Foot,Sierra Nevada Brewing Co.,2016,9.6,Barley Wine,355,1,1,true,,,false,,
Big Foot,Sierra Nevada Brewing Co.,2016,11.6,Barley Wine,710,1,1,true,,,true,,
Big Foot,Sierra Nevada Brewing Co.,2017,9.6,Barley Wine,355,1,1,true,,,false,,
Big Foot,Sierra Nevada Brewing Co.,2018,9.6,Barley Wine,355,1,1,true,,,false,,
Big Foot,Sierra Nevada Brewing Co.,2019,9.6,Barley Wine,355,1,1,true,,,false,,
Big Foot,Sierra Nevada Brewing Co.,2020,9.6,Barley Wine,355,2,2,false,,,false,,
Life And Limb,Sierra Nevada Brewing Co.,2019,10.2,Maple and Birch Syrup Ale,473,0,2,true,45,,false,,
Torpedo,Sierra Nevada Brewing Co.,2020,8.6,Imperial IPA,750,0,1,true,,,true,Whiskey,
Much Ado About Muffin,Siren Craft Brew,2020,5.5,Fruit Beer,440,0,1,true,,,false,,Blueberries
Brown Ale,St. Mel's Brewing Company,2020,5.2,Brown Ale,500,0,1,true,,,false,,
Helles Lager,St. Mel's Brewing Company,2020,5,Helles Lager,500,0,1,true,,,false,,
Big Blue,Stewart Brewing,2020,7,Spiced Blueberry Stout,1000,0,1,true,52,Kinnegar Brewing,false,,Blueberry Juice and Cardamoms
w00tstout,Stone,2018,11.5,Stout,330,0,1,true,,,false,,
Old Fashined Bourbon Ale,Strathcona,2018,7.5,Old Ale,650,1,1,false,,,false,,
Correctamundo,SuperFlux,2018,7,Porter,473,0,1,true,,,false,,
Pretty Green,The Format,2019,7.5,DDH IPA,440,0,1,true,,,false,,
Outdoorsman,The Gipsy Hill Brewing Co.,2020,4.8,Fruited Sour,440,0,1,true,,,false,,
India Pale Ale Nelson Sauvin Vic Secret,The Kernel Brewery,2020,6.9,American IPA,330,0,1,true,,,false,,
In to the Fucking Stratasphere,Third Barrel,2019,11,Triple IPA,440,0,1,true,,,false,,
Juice Bigalow,Third Barrel,2020,7,New England IPA,440,0,1,true,,,false,,
Plastic Paddy,Third Barrel,2020,7,Black IPA,440,0,1,true,,,false,,
The Darkness,Third Barrel,2019,10,Baltic Porter,330,0,2,true,70,,true,,
Cowbell,Third Circle,2020,7.2,Milk Stout,330,0,1,true,,,true,Rum and Whiskey,
Bright Eyes,Trouble Brewing,2020,3,Table Beer,440,0,1,true,,White Hag,false,,
Summer Saze,Vocation,2020,7,Elderflower & Honey Saison,440,0,1,true,,,false,,
Marauder,Wander Beyond,2020,13,Imperial Stout,250,0,1,true,,Slim Pickens,false,,
Blue Jumper,Western Herd Brewing Co,2020,6.2,IPA,500,0,1,true,,,false,,
Dolmen Irish Whiskey Stout,Western Herd Brewing Co,2020,7.6,Coffee Stout,440,0,1,true,,,true,Irish Whiskey Barrels,Cocoa-nibs and Coffee
Westvleteren xii,Westvleteren,2014,10.2,Trappist,330,1,1,true,,,true,,
Westvleteren xii,Westvleteren,2018,10.2,Trappist,330,1,1,true,,,false,,
All Together,Whiplash,2020,6.5,IPA,440,0,4,true,,,false,,
Apocalypse Dreams,Whiplash,2020,8,Double IPA,440,0,3,true,,,false,,
Body Riddle,Whiplash,2020,4.5,American Pale Ale,2000,0,1,true,26,,false,,
Eventually,Whiplash,2020,8,Double IPA,440,0,3,true,,,false,,
Plausible Deniability,Whiplash,2020,8.2,Double IPA,440,0,6,true,,Garage Beer co.,false,,
Reckoner,Whiplash,2020,6.3,IPA,440,0,3,true,,,false,,
Safe Changes,Whiplash,2020,5,Pale Ale,440,0,1,true,,,false,,
Sandstorm,Whiplash,2020,2.8,Micro IPA,440,0,2,true,,,false,,
Setting Sun,Whiplash,2020,8,Double IPA,440,0,3,true,,,false,,
Shades of Marble,Whiplash,2020,8,Double IPA,440,0,3,true,,,false,,
Surrender to the Void,Whiplash,2020,8,Double IPA,440,0,2,true,,,false,,
Swoon,Whiplash,2020,8,Double IPA,440,0,6,true,,,false,,
Telephone Line,Whiplash,2020,8.1,Double IPA,440,0,2,true,,Wylam,false,,
Atlantean,White Hag,2020,5.4,New England IPA,330,0,10,true,,,false,,
Beann Gulban,White Hag,2017,6.9,Irish Heather Sour Ale,375,3,4,true,,,true,French and Hungarian Oak,
Black Boar,White Hag,2019,10.2,Imperial Oatmeal Stout,330,0,1,true,,,false,Bourbon,
Bran & Sceolan,White Hag,2020,7.2,Irish IPA,330,0,4,true,,,false,,
Fionn,White Hag,2019,8.5,Double IPA,440,0,3,true,,,false,,
Fionn,White Hag,2020,8.5,Double IPA,1000,0,1,true,,,false,,
Hagstravaganza 4 - Black Boar Barrel Aged With Raspberries,White Hag,2018,11.6,Imperial Stout,750,1,1,true,,,true,,raspberries
Hagstravaganza 5 - Single Barrel Bourbon Barley Wine,White Hag,2019,13,Barley Wine,750,2,2,true,,,true,Bourbon,
Hopstravaganza,White Hag,2020,6.2,New England IPA,330,0,1,true,,,false,,
Little Fawn,White Hag,2020,4.2,Session IPA,330,0,16,true,,,false,,
Little Olcan,White Hag,2020,4.2,Brett Session IPA,330,0,1,true,,,true,,
Malafemmena,White Hag,2020,8.5,Double IPA,440,0,1,true,,"Johnny's Off Licence,",false,,
Ninth Wave,White Hag,2020,5.4,New World Pale Ale,330,0,14,true,,,false,,
No. 40,White Hag,2019,13,Rye Wine,330,0,2,true,,Brew By Numbers,true,,
Olcan,White Hag,2017,6,Brett IPA,375,0,1,true,,,true,,
